Virksomhed;Navn;Type;Status;Undtag
10047242;S/I Himmerlands Erhvervs- & Gymnasieuddannelser;4;1;N
10074002;Ankestyrelsen;1;1;N
10085292;AMU-SYD;4;1;N
10092485;Erhvervsministeriet;1;1;N
10095794;Nordvestsjællands Erhvervs- & Gymnasieuddannelser S/I;4;1;N
10103940;Statsministeriet, Departementet;1;1;N
10108330;Finansministeriet, Departementet;1;1;N
10150817;Erhvervsstyrelsen;1;1;N
10172748;Beskæftigelsesministeriet, Departementet;1;1;N
10213231;Økonomistyrelsen;1;1;N
10242894;Skatteankestyrelsen;1;1;N
10255384;AMU Nordjylland;4;1;N
10294819;Konkurrence- og Forbrugerstyrelsen;1;1;N
10422485;Handelsgymnasiet Vestfyn S/I;4;1;N
10430208;Civillisten;6;1;N
10520509;Viden Djurs;4;1;N
10521815;Zealand Business College;4;1;N
10598184;Finanstilsynet;1;1;N
10632935;Rytmisk Musikkonservatorium;1;1;N
10842255;Det Kongelige Teater og Kapel;1;1;N
11043798;Arbejdsgivernes Uddannelsesbidrag;6;1;N
11570119;Civilstyrelsen;1;1;N
11748708;NEXT Uddannelse København;4;1;N
11806619;Nationalt Center for Etik;1;1;N
11835228;Kompetencesekretariatet;1;1;N
11861563;Rigsombudsmanden i Grønland;1;1;N
11861571;Hotel- og Restaurantskolen;4;1;N
11861628;Rigsombudsmanden på Færøerne;1;1;N
11869513;Danmarks Evalueringsinstitut;1;1;N
11883729;Datatilsynet;1;1;N
11887252;Det Kongelige Akademi for de Skønne Kunster;1;1;N
11887260;Statens Værksteder for Kunst;1;1;N
11887317;Kunstakademiets Billedkunstskoler;1;1;N
11893716;Marie Kruses Skole;5;1;N
12070918;Sundhedsstyrelsen;1;1;N
12188668;Indenrigs- og Sundhedsministeriet, departement;1;1;N
12565054;Maskinmesterskolen København;4;1;N
12758928;Kommissarius ved statens ekspropriationer i Jylland;1;1;N
12854358;Miljøministeriet, Departementet;1;1;N
12919247;KVINFO;5;1;N
13002738;Fredericia maskinmesterskole;4;1;N
13223459;Styrelsen for IT og Læring;1;1;N
13629110;Business College Syd Mommark Handelskostskole - Sønderborg Handelskole;4;1;N
14939539;Asmildkloster Landbrugsskole;4;1;N
14940596;Mercantec;4;1;N
15413700;Det Nationale Forskningscenter f. Arb. miljø;1;1;N
15694688;SUND & BÆLT HOLDING A/S;6;1;N
15739533;Grindsted Landbrugsskole;4;1;N
15746513;Kofoeds Skole;5;1;J
15850310;Døvefilm;5;1;N
16013307;UCRS Ringkøbing Skjern;4;1;N
16266647;Center for Selvmordsforskning;5;1;N
16287180;Forsvarskommandoen;1;1;N
16339628;Vejen Business College S/I;4;1;N
16549711;Aalborg Stift;5;1;N
16786748;Nota - Nationalbibliotek for mennesker med læsevanskeligheder;1;1;N
16805408;Uddannelses- og Forskningsministeriets, Departementet;1;1;N
16967793;Den Danske Filmskole;1;1;N
17039415;Patent- og Varemærkestyrelsen;1;1;N
17143611;Politi og Anklagemyndighed;1;1;N
17150413;Danmarks Statistik;1;1;N
17246011;Danida Fellowship Centre;5;1;N
17257234;Den selvejende institution Køge Handelsskole og Handelsgymnasium;4;1;N
17611615;College 360;4;1;N
17783092;Herningsholm Erhvervsskole & Gymnasier S/I;4;1;N
18159104;Danmarks Meteorologiske Institut;1;1;N
18550342;Studenterrådgivningen administrationen;1;1;N
18632276;Banedanmark;1;1;N
18653605;Fonden Erik Hoffmeyers Rejselegat;6;1;N
18933144;Designskolen i Kolding;4;1;N
18975734;Det Kongelige Danske Kunstakademis skoler for Arkitektur, Design og Konservering;1;1;N
19366316;Aalborg Handelsskole;4;1;N
19462315;Tønder Handelsskole;4;1;N
19506932;HKH Prins Joachim;6;1;N
19516172;Roskilde Handelsskole;4;1;N
19534030;N. Zahles Seminarium;5;2;N
19552101;Skatteforvaltningen;1;1;N
19596915;Copenhagen Business School Handelshøjskolen;4;1;J
19683281;Træningsskolen ARB UDD;4;1;N
19954617;International Business College;4;1;N
20453044;Børne- og Undervisningsministeriet, Departementet;1;1;N
20578912;TEC, Technical Education Copenhagen S/I;4;1;N
20814616;Landbrugsstyrelsen;1;1;N
20874651;AMU-Vest;4;1;N
21453013;Aarhus maskinmesterskole;4;1;N
21480711;Ingrid Jespersen (gym);5;1;N
21481815;Arbejdstilsynet;1;1;N
21659509;Domstolsstyrelsen;1;1;N
21738018;Helsingør Stift;5;1;N
22029037;EUC Sjælland;4;1;N
22139118;Nationalmuseet;1;1;N
22507915;Justitsministeriet, Departementet;1;1;N
23131617;Ordenskapitlet;6;1;N
23155117;VIVE;1;1;N
23267519;Tietgenskolen;4;1;N
24198693;Cabi;5;1;N
24198715;Center for Frivilligt Socialt Arbejde, selvejende institution;5;1;N
25009037;EUC Nord;4;1;N
25775635;Forsvarsministeriet, Departementet;1;1;N
25775910;Havarikommissionen for civil luftfart;1;1;N
25787072;SIMAC, Svendborg International Maritime Academy;4;1;N
25798376;Miljøstyrelsen;1;1;N
25849922;Marstal Navigationsskole;4;1;N
25887336;S/I Svendborg Erhvervsskole- & Gymnasier;4;1;N
25961838;Folkekirkens Uddannelses- & Videncenter;5;1;N
25966376;Børnerådet;1;1;N
26059763;Naviair;6;1;J
26144698;Social- og Boligstyrelsen;1;1;N
26144744;Dansk Dekommissionering;1;1;N
26145171;Kommissarius ved statens ekspropriationer på øerne;1;1;N
26556805;Dansk Center for Undervisningsmiljø;1;1;N
26643058;Den Uvildige Konsulentordning på Handicapområdet;5;1;N
27120717;Arkitektskolen i Århus;1;1;N
27151000;Gentofte Gymnasium S/I;5;1;N
27186386;Trafikstyrelsen;1;1;N
27186823;Forsvarsstaben, DDIS;1;1;N
27206808;Folkekirkens IT;5;1;N
